d,_NAME_,_LABEL_,AAPL,ABT,ACN,AEP,ALL,AMGN,AMZN,APA,APC,AXP,BA,BAC,BAX,BHI,BK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DELL,DIS,DOW,DVN,EBAY,EMC,EMR,EXC,F,FCX,FDX,GD,GE,GILD,GOOG,GS,HAL,HD,HNZ,HON,HPQ,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MCD,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NKE,NOV,NSC,ORCL,OXY,PEP,PFE,PG,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,VZ,WAG,WFC,WMB,WMT,XOM
1,RET,Returns,0.050355,0.101319,0.092137,0.006201,-0.037359,-0.075704,-0.049417,0.103765,0.137942,0.021570,-0.027477,-0.041604,-0.021248,0.274103,0.005337,0.003917,-0.040181,0.179678,0.006016,0.073302,-0.035880,0.112066,0.008490,0.084696,0.052186,0.045975,-0.078823,-0.021369,0.055903,-0.034687,0.090662,-0.002777,-0.016153,0.036814,0.080542,0.124352,0.200046,-0.021666,0.023761,-0.065621,0.157885,0.042906,0.107979,0.285023,0.001729,0.006524,0.031409,0.089067,-0.010949,-0.148438,-0.042596,0.010078,0.026544,0.000530,0.063178,-0.045755,0.038256,-0.017435,0.023673,-0.061290,-0.031852,0.093899,0.084565,0.087769,0.076482,-0.067289,0.213238,0.111755,0.029484,0.223210,-0.032160,0.101201,0.028162,0.113278,0.020423,0.056315,0.311889,0.007819,0.081039,0.073193,-0.004002,0.005161,-0.087621,-0.043772,0.098745,-0.003194,0.000669,0.043999,0.064575,-0.022142,-0.007481,0.028917,-0.014744,0.117144
2,RET,Returns,-0.092968,0.023870,0.035839,-0.012058,0.052450,0.035533,-0.164659,-0.113994,-0.080319,0.027264,0.068511,0.036627,0.027137,-0.120868,0.076391,0.013602,0.006011,0.076289,-0.007469,-0.035586,0.051941,-0.052241,0.028362,0.089930,0.020533,-0.041260,0.037292,-0.010577,0.105887,0.017258,-0.140449,-0.070534,0.046269,0.062040,0.001567,-0.071096,-0.211984,0.060208,0.059385,0.011298,0.023000,-0.161883,0.000283,-0.144059,0.039458,0.115793,0.071756,0.052277,-0.010578,-0.026111,0.007647,0.034969,0.014258,-0.010597,0.081596,0.072856,-0.002856,-0.044625,-0.000797,0.017869,-0.006082,-0.008628,0.010435,-0.029129,-0.042273,0.072020,-0.199684,0.030096,-0.011933,-0.063146,0.033753,0.029206,0.011818,-0.014804,0.059312,0.145741,-0.095724,-0.011422,0.010744,0.063198,-0.004566,-0.009698,0.021211,-0.020027,0.001017,0.002403,0.033434,0.005996,0.064435,0.038008,0.037845,-0.095218,-0.016265,-0.048765
3,RET,Returns,-0.084246,-0.038705,-0.079302,-0.067945,-0.042351,-0.036169,-0.024306,-0.021070,0.020472,-0.024685,0.072087,0.004144,0.025363,0.006623,0.052570,0.065368,0.018546,-0.017378,0.048091,-0.024972,-0.080822,0.035925,0.058019,0.070652,0.054359,0.026381,0.048956,0.026207,-0.003573,-0.047757,0.045241,-0.026460,-0.027817,0.022247,-0.073717,-0.001255,0.190401,0.053898,0.038047,0.058108,-0.000803,0.075506,0.110907,0.073823,0.007117,0.009242,0.044444,0.005181,0.027792,-0.055340,0.027233,0.012154,0.005004,-0.005753,0.031014,-0.054855,-0.015755,-0.059314,-0.034916,0.028537,-0.003338,0.010372,0.021515,0.052967,0.012653,-0.015787,0.053219,0.056467,0.102254,0.016059,-0.017933,-0.048492,-0.038378,0.073155,0.056221,0.036068,0.100609,-0.037026,0.014101,-0.019935,-0.043934,-0.030040,0.087772,-0.040185,0.057595,0.062508,-0.002588,-0.009060,0.010683,-0.038564,-0.005140,-0.004868,0.045139,0.025097
4,RET,Returns,0.122290,0.013304,-0.033256,-0.016461,0.084053,-0.069416,-0.036135,0.085941,0.037719,0.026261,0.070833,0.096179,-0.028601,0.181725,-0.018868,0.042666,0.067965,0.058209,0.040981,0.183104,0.076006,0.059382,0.004985,-0.033226,-0.003725,0.052613,0.044776,-0.119624,0.002510,0.000246,-0.017329,-0.117692,-0.008804,0.015784,0.020794,-0.114322,0.085704,0.019391,0.029228,-0.005463,-0.075860,0.071641,0.023445,0.070255,-0.056028,0.094673,-0.006313,-0.013070,-0.001576,0.026722,-0.010301,0.097983,0.002150,-0.043038,0.010249,-0.020639,0.006112,-0.010517,0.077114,0.128683,0.032458,-0.013569,-0.022992,0.027857,-0.112459,-0.038308,0.075639,-0.001295,0.065741,0.108904,0.007787,0.016453,0.015443,0.014424,-0.029014,-0.009567,0.092518,-0.004654,-0.026860,-0.018399,0.020958,0.036331,0.069911,-0.109560,-0.022924,0.021290,0.030820,0.083491,-0.018350,-0.027823,0.075466,0.025245,-0.046782,0.036477
5,RET,Returns,-0.150874,-0.000936,-0.031648,0.035266,-0.020004,-0.001625,-0.017041,-0.086712,-0.052280,0.010221,0.001198,-0.020433,0.000000,0.069281,-0.054623,-0.032703,-0.013013,-0.036837,0.020636,0.038126,-0.044360,-0.048580,-0.025170,-0.060621,-0.061238,-0.011636,-0.027211,-0.031298,0.090844,-0.018222,-0.045749,-0.046498,-0.052554,-0.023367,0.055741,0.030216,-0.133013,-0.050899,-0.030174,-0.009540,-0.002956,-0.110351,-0.058269,-0.043634,-0.045329,0.020236,-0.025721,-0.002772,-0.025990,-0.093093,0.033868,-0.060379,0.049333,-0.016629,-0.040975,-0.012213,-0.040498,0.007382,-0.012092,-0.015334,-0.011072,0.009113,-0.021790,-0.072784,-0.058385,-0.018695,-0.042192,-0.020000,-0.025360,-0.035527,0.038118,-0.056455,-0.068030,-0.117063,0.035690,-0.043467,-0.051634,-0.008067,-0.018197,-0.005723,-0.076836,-0.008046,-0.100259,-0.116204,0.020721,-0.001727,-0.018130,-0.000398,-0.055101,-0.030169,-0.026205,0.030552,0.079669,-0.029328
6,RET,Returns,-0.041827,0.021311,0.006039,-0.000584,-0.005090,-0.034916,0.117596,0.051942,-0.038051,-0.020971,-0.016096,-0.006198,-0.024934,-0.051564,-0.030996,0.053361,-0.021298,0.020973,-0.007292,0.018985,0.032379,0.035393,0.079350,-0.007622,0.100358,0.037966,-0.021867,-0.036249,-0.016393,-0.011663,0.055134,-0.107284,-0.142969,0.015633,0.003886,-0.032123,0.003036,0.070285,0.028598,-0.030648,0.031920,0.127777,-0.003445,-0.005094,-0.057188,-0.018418,-0.021370,-0.019148,-0.038548,0.054384,-0.004982,-0.015009,-0.015898,0.070294,-0.010346,-0.025851,0.012964,-0.070707,-0.005052,-0.034545,0.025985,0.000356,0.094323,0.060215,0.028698,0.012452,-0.041477,0.008719,0.018987,0.038551,-0.001985,-0.008030,0.024885,-0.113692,-0.027917,0.059186,-0.005109,0.002502,0.041567,0.070223,-0.001022,0.005230,-0.030099,0.018653,0.001724,0.022098,0.011014,0.014395,0.073054,0.104434,0.010698,0.037611,-0.005779,0.007224
7,RET,Returns,0.186660,0.102155,0.033192,0.054599,0.038187,0.068680,-0.304809,0.033993,-0.040889,-0.018978,-0.054816,0.071310,0.142546,-0.023213,0.050621,-0.062258,0.001244,-0.044441,-0.004341,0.050092,-0.094792,0.052953,-0.074217,-0.084485,0.067060,0.059942,-0.046635,-0.113655,-0.010333,-0.114015,0.070022,-0.178218,-0.074749,-0.058346,0.018828,-0.030303,-0.009700,-0.103971,0.027345,-0.008192,0.039892,-0.078053,0.017749,-0.100930,-0.030176,0.018195,-0.039702,0.007260,0.007680,-0.052632,0.043892,0.094286,0.034403,0.027139,0.110677,-0.063788,0.053274,0.079071,0.015427,-0.128389,0.089064,0.023637,0.105408,0.056320,0.032618,-0.024691,0.058749,-0.184141,0.033126,0.050707,0.055630,0.107371,0.016367,-0.120040,0.016603,-0.093485,0.026724,0.053978,0.031227,0.087218,-0.060364,-0.046243,-0.015847,0.068111,-0.085628,-0.163003,0.036269,-0.019395,0.021947,0.043265,0.078414,0.038099,-0.076188,0.104156
8,RET,Returns,-0.001619,0.019468,0.013671,0.020210,0.025871,-0.024100,0.146523,-0.073648,0.025579,0.009220,-0.028675,0.009703,0.056667,-0.108068,0.004165,-0.092616,0.031670,-0.063779,0.009103,0.019197,-0.054600,-0.075903,-0.113154,0.229866,0.025367,-0.013074,0.017146,0.040129,-0.001347,0.102660,-0.033261,0.155796,0.147783,0.046566,0.060104,0.254873,0.066899,-0.035145,0.007908,0.041909,0.030559,-0.020874,-0.026841,-0.019934,-0.012100,-0.003097,0.006379,0.145722,0.049864,0.092778,0.039728,0.000877,0.006966,-0.007751,0.040412,-0.045503,0.014411,-0.071655,0.058269,0.025000,0.044517,0.103512,0.016389,-0.010677,0.071904,0.022279,-0.025955,-0.011746,0.046092,-0.053550,0.029978,0.069642,0.101424,0.071753,0.047482,-0.094070,-0.083022,0.025977,0.000234,0.038013,0.056402,0.010606,0.094359,0.086138,-0.051176,0.022058,0.002187,0.012623,0.040213,0.058946,-0.031518,0.019381,0.008708,0.003691
9,RET,Returns,0.134562,-0.002875,0.069117,-0.003015,0.082672,0.051448,0.041842,-0.031863,-0.063739,0.067377,0.052737,0.040800,0.024335,-0.041866,0.044741,0.145747,0.006484,-0.008289,0.037421,0.053082,0.076060,-0.061485,0.061765,0.045020,-0.042623,0.007143,0.071804,0.012860,0.042496,0.032127,0.012362,0.019411,0.028326,0.020816,-0.007215,-0.033453,-0.072153,0.076611,0.060992,0.043746,0.084700,0.061739,0.138042,-0.127836,0.062117,0.010516,0.056302,0.005744,0.011980,0.051099,0.004330,0.028471,0.004017,0.019131,0.041889,0.036955,0.089694,-0.009808,0.029984,0.037936,-0.073267,-0.009064,0.033292,0.108223,0.064202,0.088782,-0.103369,0.030892,0.132822,-0.052167,0.004289,0.029028,0.001292,-0.035041,0.016946,0.098033,0.013948,0.005544,0.068758,0.045936,0.141765,0.096871,0.020252,-0.052936,0.095208,0.026981,0.046149,0.010206,0.055429,-0.102507,0.041151,-0.030857,0.102862,-0.008423
10,RET,Returns,0.053261,-0.015548,0.048881,0.139126,-0.021840,0.061233,0.185866,0.035918,0.059092,0.033524,0.012809,0.005600,0.011219,0.012463,-0.019002,0.004414,0.009865,-0.072796,0.035266,0.102168,0.008518,0.017974,0.074477,0.050044,-0.021832,0.036078,0.069094,0.065236,0.017794,0.046434,0.058432,0.132934,0.022538,0.006439,0.023786,0.023486,0.141429,0.053920,-0.004744,-0.005382,0.001890,0.185345,0.123958,0.137083,0.029225,0.005485,0.029829,0.055874,0.126800,0.037433,0.037881,0.017462,0.045658,-0.017368,0.010109,0.075909,0.071575,0.050603,0.007939,0.059393,0.062443,-0.057222,0.084009,0.051982,0.049726,0.048619,0.031597,0.193417,0.041150,-0.024319,-0.027888,-0.060296,0.027751,0.001100,0.045407,0.108664,0.016927,0.056297,0.071507,0.062116,0.071131,0.097641,-0.091128,-0.008537,0.029886,0.047401,0.018663,0.037411,0.007406,-0.015995,0.003040,0.023460,-0.000811,0.064382
